RecordID,Age,Gender,City
BOL1051,36.0,Male,Berlin
AUR537,32.0,Male,Berlin
BDP769,30.0,Male,Berlin
AIP223,30.0,Male,Berlin
AIL219,35.0,Male,Berlin
BOY1064,36.0,Female,Berlin
AHG188,26.0,Male,Berlin
BDY778,42.0,Male,Berlin
AHK192,35.0,Male,Munich
AOX387,24.0,Male,Munich
ARR459,38.0,Male,Berlin
AQX439,30.0,Male,Hamburg
AXL609,23.0,Male,Berlin
BCS746,33.0,Male,Berlin
BGT851,29.0,Male,Munich
BCH735,38.0,Male,Berlin
ABP41,49.0,Male,Berlin
BSI1152,39.0,Male,Berlin
AWN585,29.0,Male,Berlin
BBK712,29.0,Male,Barcelona
AGO170,31.0,Male,Berlin
ADZ103,37.0,Male,Berlin
AKT279,39.0,Male,Berlin
ALZ311,31.0,Male,Berlin
BOZ1065,31.0,Male,Berlin
ASN481,30.0,Male,Munich
AFS148,35.0,Male,Frankfurt
AZP665,32.0,Male,Berlin
BAN689,34.0,Male,Berlin
BCA728,43.0,Male,Berlin
BDB755,24.0,Female,Prague
BPK1076,24.0,Male,Moscow
BCK738,30.0,Male,Berlin
BUQ1212,30.0,Female,Berlin
ACX75,30.0,Male,Berlin
AGA156,33.0,Male,Munich
AZI658,31.0,Male,Berlin
BCR745,35.0,Male,Berlin
BEU800,37.0,Male,Munich
BAY700,32.0,Male,Berlin
ANM350,22.0,Male,Warsaw
API398,32.0,Female,Cologne
AFR147,31.0,Female,Munich
AUU540,26.0,Male,Berlin
AKY284,42.0,Male,Berlin
AJA234,25.0,Male,Munich
AMV333,31.0,Male,Moscow
BLN975,30.0,Male,Berlin
BCE732,36.0,Male,Munich
BRB1119,31.0,Male,Frankfurt
BIL895,39.0,Female,Stuttgart 
BEN793,32.0,Male,Berlin
ASZ493,35.0,Male,Munich
BAD679,25.0,Male,Berlin
ACR69,28.0,Male,Berlin
AGQ172,29.0,Male,Berlin
AQZ441,32.0,Male,Berlin
AMR329,33.0,Male,Hamburg
AYB625,33.0,Male,Berlin
BUM1208,36.0,Male,Stuttgart
AOB365,,Male,Berlin
ALF291,34.0,Male,Berlin
APT409,24.0,Male,Frankfurt
AWQ588,32.0,Male,Hamburg
AKW282,33.0,Female,Munich
BSA1144,33.0,Male,Berlin
AQQ432,27.0,Male,Berlin
BPC1068,36.0,Male,Prefer not to say
BQS1110,31.0,Male,Berlin
BBW724,32.0,Male,Munich
AQH423,39.0,Male,Berlin
BVP1237,37.0,Male,Berlin
ALV307,34.0,Male,Berlin
BTP1185,29.0,Female,Berlin
AGU176,33.0,Male,Berlin
BBV723,33.0,Male,Dusseldorf
ACB53,32.0,Male,Berlin
BJG916,27.0,Male,Berlin
AYM636,33.0,Male,Berlin
AHQ198,35.0,Female,Berlin
BKM948,31.0,Male,Munich
ATX517,35.0,Male,Frankfurt
BVD1225,24.0,Male,Berlin
ABC28,,Male,Berlin
AWS590,29.0,Male,Stuttgart 
BLL973,23.0,Male,"NJ, USA"
ATK504,31.0,Male,Berlin
AHR199,32.0,Male,Munich
BID887,31.0,Male,Berlin
BKW958,36.0,Male,Zurich
AEB105,36.0,Male,Berlin
BNC1016,31.0,Male,Munich
BKL947,27.0,Male,Rome
BFM818,46.0,Male,Stuttgart
BHK868,35.0,Female,Berlin
BRJ1127,35.0,Male,Duesseldorf
BRV1139,32.0,Male,Berlin
ABL37,30.0,Male,Berlin
ATC496,31.0,Male,Berlin
ACS70,29.0,Male,Konstanz area
BPH1073,37.0,Male,Berlin
ANG344,26.0,Male,Frankfurt
APL401,39.0,Male,Stuttgart
ATN507,36.0,Male,Berlin
AWJ581,22.0,Female,Berlin
AEG110,33.0,Male,Frankfurt
ACV73,29.0,Male,Munich
BOR1057,36.0,Male,Bonn
BHF863,42.0,Male,Berlin
BNA1014,32.0,Female,Heidelberg 
AOE368,31.0,Male,Munich
AHY206,25.0,Male,Berlin
BHU878,29.0,Male,Milan
AYR641,32.0,Male,Berlin
BMO1002,26.0,Female,Berlin
AJZ259,35.0,Male,Frankfurt
BQD1095,28.0,Female,Berlin
AYL635,33.0,Male,Berlin
AXQ614,31.0,Male,Berlin
AVR563,30.0,Female,Berlin
ACC54,44.0,Male,Berlin
BQH1099,22.0,Male,Frankfurt
BFU826,42.0,Male,Berlin
BIT903,30.0,Female,Munich
AAQ16,29.0,Male,Hamburg
AIQ224,35.0,Male,Berlin
BUE1200,30.0,Male,Berlin
ABW48,38.0,Female,Berlin
AGN169,46.0,Male,Munich
AJE238,30.0,Male,Munich
AVL557,35.0,Male,Berlin
BRI1126,35.0,Male,Darmstadt
BSQ1160,30.0,Male,Berlin
BGF837,26.0,Male,Munich
BAR693,36.0,Male,Berlin
BOM1052,22.0,Female,Eindhoven
ALG292,45.0,Male,Berlin
APZ415,30.0,Male,Kiev
BSR1161,30.0,Female,Hamburg
ALH293,34.0,Male,Berlin
AJN247,37.0,Male,Berlin
BFP821,35.0,Male,Berlin
AWY596,31.0,Male,Berlin
ATQ510,27.0,Female,Munich
BJX933,33.0,Female,Brunswick
BMY1012,26.0,Male,Munich
AKV281,28.0,Male,Berlin
AFF135,37.0,Male,Berlin
BHI866,29.0,Female,Berlin
AHF187,46.0,Male,Munich
AFB131,34.0,Male,Munich
APY414,33.0,Male,Berlin
AHN195,36.0,Male,Munich
BSG1150,28.0,Male,Brussels
AXG604,41.0,Male,Berlin
BOA1040,26.0,Female,Prague
BPV1087,25.0,Male,Cologne
BTB1171,32.0,Male,Berlin
AOL375,33.0,Male,Berlin
ARQ458,28.0,Male,Kyiv
AWT591,32.0,Female,Berlin
ABF31,31.0,Male,Berlin
BQV1113,32.0,Male,Munich
AJO248,38.0,Male,Frankfurt
AKC262,37.0,Male,Berlin
AUC522,28.0,Male,Berlin
AGL167,28.0,Male,Moldova
AQW438,29.0,Male,Berlin
APN403,50.0,Male,Berlin
BUL1207,31.0,Male,Berlin
BVW1244,32.0,Male,Munich
BJJ919,32.0,Male,Munich
BIH891,34.0,Male,Berlin
AWH579,26.0,Female,Berlin
ADO92,35.0,Female,Berlin
ANB339,28.0,Male,Munich
ACF57,33.0,Male,Munich
BIC886,36.0,Male,Frankfurt
AAG6,37.0,Male,Berlin
AVG552,31.0,Male,Berlin
AES122,28.0,Male,Berlin
AVY570,22.0,Male,Berlin
AZV671,33.0,Male,Hamburg
ADX101,31.0,Male,Munich
BLR979,48.0,Male,Madrid
AKS278,27.0,Male,Berlin
AXI606,33.0,Male,Berlin
BLQ978,30.0,Male,Frankfurt
APE394,33.0,Male,Berlin
APW412,37.0,Female,Berlin
